"rs_id","title","source","rs_link","abreviation","ro_source","decision_date","history_link","pdf_in_force","pdf_entry_in_force","n_full_text_pdf","n_modifications","admin_id","pdf_in_force2","page_length","entry_in_force","international"
"120.426","Ordonnance du DFJP du 26 juin 2013 sur les contrôles de sécurité relatifs aux personnes (OCSP-DFJP)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20122034/index.html","OCSP-DFJP","RO 2013 2633","2013-06-26","/opc/fr/classified-compilation/20122034/history.html","201309010000/120.426.pdf","2013-09-01",1,0,20122034,"https://www.admin.ch/opc/fr/classified-compilation/20122034/201309010000/120.426.pdf",6,"2013-09-01",0
"120.427","Ordonnance du DFI du 12 août 2013 sur les contrôles de sécurité relatifs aux personnes (OCSP-DFI)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20131540/index.html","OCSP-DFI","RO 2013 2675","2013-08-12","/opc/fr/classified-compilation/20131540/history.html","201309010000/120.427.pdf","2013-09-01",1,0,20131540,"https://www.admin.ch/opc/fr/classified-compilation/20131540/201309010000/120.427.pdf",4,"2013-09-01",0
"120.52","Ordonnance du 4 décembre 2009 sur les mesures de police administrative de l’Office fédéral de la police et sur le système d’information HOOGAN (OMAH)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20092340/index.html","OMAH","RO 2009 6925","2009-12-04","/opc/fr/classified-compilation/20092340/history.html","201302010000/120.52.pdf","2013-02-01",3,2,20092340,"https://www.admin.ch/opc/fr/classified-compilation/20092340/201302010000/120.52.pdf",10,"2010-01-01",0
"120.72","Ordonnance du 27 juin 2001 sur la sécurité relevant de la compétence fédérale (OSF)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20002109/index.html","OSF","RO 2001 1741","2001-06-27","/opc/fr/classified-compilation/20002109/history.html","201709010000/120.72.pdf","2017-09-01",5,5,20002109,"https://www.admin.ch/opc/fr/classified-compilation/20002109/201709010000/120.72.pdf",10,"2001-08-01",0
"121","Loi fédérale du 25 septembre 2015 sur le renseignement (LRens)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20120872/index.html","LRens","RO 2017 4095","2015-09-25","/opc/fr/classified-compilation/20120872/history.html","201709010000/121.pdf","2017-09-01",1,0,20120872,"https://www.admin.ch/opc/fr/classified-compilation/20120872/201709010000/121.pdf",40,"2017-09-01",0
"121.1","Ordonnance du 16 août 2017 sur le service de renseignement (Ordonnance sur le renseignement, ORens)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20162430/index.html","ORens","RO 2017 4151","2017-08-16","/opc/fr/classified-compilation/20162430/history.html","201709010000/121.1.pdf","2017-09-01",1,0,20162430,"https://www.admin.ch/opc/fr/classified-compilation/20162430/201709010000/121.1.pdf",28,"2017-09-01",0
"121.2","Ordonnance du 16 août 2017 sur les systèmes d’information et les systèmes de stockage de données du Service de renseignement de la Confédération (OSIS-SRC)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20162429/index.html","OSIS-SRC","RO 2017 4193","2017-08-16","/opc/fr/classified-compilation/20162429/history.html","201709010000/121.2.pdf","2017-09-01",1,0,20162429,"https://www.admin.ch/opc/fr/classified-compilation/20162429/201709010000/121.2.pdf",38,"2017-09-01",0
"121.3","Ordonnance du 16 août 2017 sur la surveillance des activités de renseignement (OSRens)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20162713/index.html","OSRens","RO 2017 4231","2017-08-16","/opc/fr/classified-compilation/20162713/history.html","201709010000/121.3.pdf","2017-09-01",1,0,20162713,"https://www.admin.ch/opc/fr/classified-compilation/20162713/201709010000/121.3.pdf",6,"2017-09-01",0
"122","Loi fédérale du 12 décembre 2014 interdisant les groupes «Al-Qaïda» et «Etat islamique» et les organisations apparentées","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20142993/index.html","NA","RO 2014 4565","2014-12-12","/opc/fr/classified-compilation/20142993/history.html","201501010000/122.pdf","2015-01-01",1,0,20142993,"https://www.admin.ch/opc/fr/classified-compilation/20142993/201501010000/122.pdf",2,"2015-01-01",0
"124","Ordonnance du 24 juin 2015 sur l’engagement d’entreprises de sécurité privées par des autorités fédérales pour l’exécution de tâches en matière de protection (Ordonnance sur l’engagement d’entreprises de sécurité, OESS)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20150956/index.html","OESS","RO 2015 2333","2015-06-24","/opc/fr/classified-compilation/20150956/history.html","201510200000/124.pdf","2015-10-20",2,0,20150956,"https://www.admin.ch/opc/fr/classified-compilation/20150956/201510200000/124.pdf",6,"2015-09-01",0
"125","Ordonnance du 4 novembre 1970 concernant le port d’uniformes étrangers en Suisse et de l’uniforme militaire suisse à l’étranger","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/19700251/index.html","NA","RO 1970 1361","1970-11-04","/opc/fr/classified-compilation/19700251/history.html","200110010000/125.pdf","2001-10-01",1,2,19700251,"https://www.admin.ch/opc/fr/classified-compilation/19700251/200110010000/125.pdf",4,"1971-01-01",0
"131.211","Constitution du canton de Zurich, du 27 février 2005","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/20051651/index.html","NA","FF 2006 331","2005-02-27","/opc/fr/classified-compilation/20051651/history.html","201409240000/131.211.pdf","2014-09-24",2,2,20051651,"https://www.admin.ch/opc/fr/classified-compilation/20051651/201409240000/131.211.pdf",40,"2006-01-01",0
"131.212","Constitution du canton de Berne, du 6 juin 1993","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/19930146/index.html","NA","NA","1993-06-06","/opc/fr/classified-compilation/19930146/history.html","201503110000/131.212.pdf","2015-03-11",2,8,19930146,"https://www.admin.ch/opc/fr/classified-compilation/19930146/201503110000/131.212.pdf",50,"1995-01-01",0
"131.213","Constitution du canton de Lucerne, du 17 juin 2007","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/20072702/index.html","NA","FF 2008 1285","2007-06-17","/opc/fr/classified-compilation/20072702/history.html","201603030000/131.213.pdf","2016-03-03",1,1,20072702,"https://www.admin.ch/opc/fr/classified-compilation/20072702/201603030000/131.213.pdf",24,"2008-01-01",0
"131.214","Constitution du canton d’Uri, du 28 octobre 1984","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/19840256/index.html","NA","NA","1984-10-28","/opc/fr/classified-compilation/19840256/history.html","201503110000/131.214.pdf","2015-03-11",4,6,19840256,"https://www.admin.ch/opc/fr/classified-compilation/19840256/201503110000/131.214.pdf",34,"1985-01-01",0
"131.215","Constitution du canton de Schwyz, du 24 novembre 2010","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/20121414/index.html","NA","FF 2012 7331","2010-11-24","/opc/fr/classified-compilation/20121414/history.html","201603030000/131.215.pdf","2016-03-03",2,1,20121414,"https://www.admin.ch/opc/fr/classified-compilation/20121414/201603030000/131.215.pdf",24,"2013-01-01",0
"131.216.1","Constitution du canton d’Obwald, du 19 mai 1968","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/19680103/index.html","NA","NA","1968-05-19","/opc/fr/classified-compilation/19680103/history.html","201109290000/131.216.1.pdf","2011-09-29",1,3,19680103,"https://www.admin.ch/opc/fr/classified-compilation/19680103/201109290000/131.216.1.pdf",42,"1969-04-27",0
"131.216.2","Constitution du canton de Nidwald, du 10 octobre 1965","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/19650187/index.html","NA","NA","1965-10-10","/opc/fr/classified-compilation/19650187/history.html","201103020000/131.216.2.pdf","2011-03-02",1,2,19650187,"https://www.admin.ch/opc/fr/classified-compilation/19650187/201103020000/131.216.2.pdf",34,"1965-10-10",0
"131.217","Constitution du canton de Glaris, du 1er mai 1988","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/19880090/index.html","NA","NA","1988-05-01","/opc/fr/classified-compilation/19880090/history.html","201603030000/131.217.pdf","2016-03-03",3,12,19880090,"https://www.admin.ch/opc/fr/classified-compilation/19880090/201603030000/131.217.pdf",48,"1988-05-01",0
"131.218","Constitution du canton de Zoug, du 31 janvier 1894","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/18940001/index.html","NA","NA","1894-01-31","/opc/fr/classified-compilation/18940001/history.html","201409240000/131.218.pdf","2014-09-24",4,6,18940001,"https://www.admin.ch/opc/fr/classified-compilation/18940001/201409240000/131.218.pdf",26,"1894-07-28",0
"131.219","Constitution du canton de Fribourg, du 16 mai 2004","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/20042129/index.html","NA","NA","2004-05-16","/opc/fr/classified-compilation/20042129/history.html","201006080000/131.219.pdf","2010-06-08",1,1,20042129,"https://www.admin.ch/opc/fr/classified-compilation/20042129/201006080000/131.219.pdf",36,"2005-01-01",0
"131.221","Constitution du canton de Soleure, du 8 juin 1986","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/19860122/index.html","NA","NA","1986-06-08","/opc/fr/classified-compilation/19860122/history.html","201603030000/131.221.pdf","2016-03-03",6,14,19860122,"https://www.admin.ch/opc/fr/classified-compilation/19860122/201603030000/131.221.pdf",42,"1988-01-01",0
"131.222.1","Constitution du canton de Bâle-Ville, du 23 mars 2005","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/20060954/index.html","NA","FF 2006 4873","2005-03-23","/opc/fr/classified-compilation/20060954/history.html","201706120000/131.222.1.pdf","2017-06-12",4,5,20060954,"https://www.admin.ch/opc/fr/classified-compilation/20060954/201706120000/131.222.1.pdf",42,"2006-07-13",0
"131.222.2","Constitution du canton de Bâle-Campagne, du 17 mai 1984","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/19840090/index.html","NA","NA","1984-05-17","/opc/fr/classified-compilation/19840090/history.html","201706120000/131.222.2.pdf","2017-06-12",8,13,19840090,"https://www.admin.ch/opc/fr/classified-compilation/19840090/201706120000/131.222.2.pdf",46,"1987-01-01",0
"131.223","Constitution du canton de Schaffhouse, du 17 juin 2002","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/20030164/index.html","NA","FF 2003 6301","2002-06-17","/opc/fr/classified-compilation/20030164/history.html","201103020000/131.223.pdf","2011-03-02",1,4,20030164,"https://www.admin.ch/opc/fr/classified-compilation/20030164/201103020000/131.223.pdf",36,"2003-01-01",0
"131.224.1","Constitution du canton d’Appenzell (Rh.-Ext.), du 30 avril 1995","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/19950099/index.html","NA","NA","1995-04-30","/opc/fr/classified-compilation/19950099/history.html","201503110000/131.224.1.pdf","2015-03-11",2,2,19950099,"https://www.admin.ch/opc/fr/classified-compilation/19950099/201503110000/131.224.1.pdf",32,"1996-05-01",0
"131.224.2","Constitution du canton d’Appenzell Rhodes-Intérieures, du 24 novembre 1872","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/18720003/index.html","NA","NA","1872-11-24","/opc/fr/classified-compilation/18720003/history.html","201603030000/131.224.2.pdf","2016-03-03",3,13,18720003,"https://www.admin.ch/opc/fr/classified-compilation/18720003/201603030000/131.224.2.pdf",22,"1873-04-27",0
"131.225","Constitution du Canton de Saint-Gall, du 10 juin 2001","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/20012631/index.html","NA","FF 2002 1784","2001-06-10","/opc/fr/classified-compilation/20012631/history.html","201006080000/131.225.pdf","2010-06-08",1,2,20012631,"https://www.admin.ch/opc/fr/classified-compilation/20012631/201006080000/131.225.pdf",36,"2003-01-01",0
"131.226","Constitution du Canton des Grisons, du 14 septembre 2003","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/20032486/index.html","NA","FF 2004 1007","2003-09-14","/opc/fr/classified-compilation/20032486/history.html","201609270000/131.226.pdf","2016-09-27",4,7,20032486,"https://www.admin.ch/opc/fr/classified-compilation/20032486/201609270000/131.226.pdf",36,"2004-01-01",0
"131.227","Constitution du canton d’Argovie, du 25 juin 1980","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/19800162/index.html","NA","NA","1980-06-25","/opc/fr/classified-compilation/19800162/history.html","201309230000/131.227.pdf","2013-09-23",5,12,19800162,"https://www.admin.ch/opc/fr/classified-compilation/19800162/201309230000/131.227.pdf",40,"1982-01-01",0
"131.228","Constitution du canton de Thurgovie, du 16 mars 1987","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/19870035/index.html","NA","NA","1987-03-16","/opc/fr/classified-compilation/19870035/history.html","201303110000/131.228.pdf","2013-03-11",3,5,19870035,"https://www.admin.ch/opc/fr/classified-compilation/19870035/201303110000/131.228.pdf",26,"1990-01-01",0
"131.229","Constitution de la République et canton du Tessin, du 14 décembre 1997","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/20012210/index.html","NA","FF 1998 4818","1997-12-14","/opc/fr/classified-compilation/20012210/history.html","201706120000/131.229.pdf","2017-06-12",2,3,20012210,"https://www.admin.ch/opc/fr/classified-compilation/20012210/201706120000/131.229.pdf",30,"1998-01-01",0
"131.231","Constitution du canton de Vaud, du 14 avril 2003","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/20030172/index.html","NA","FF 2003 6303","2003-04-14","/opc/fr/classified-compilation/20030172/history.html","201503110000/131.231.pdf","2015-03-11",5,7,20030172,"https://www.admin.ch/opc/fr/classified-compilation/20030172/201503110000/131.231.pdf",46,"2003-04-14",0
"131.232","Constitution du canton du Valais, du 8 mars 1907","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/19070006/index.html","NA","NA","1907-03-08","/opc/fr/classified-compilation/19070006/history.html","200806120000/131.232.pdf","2008-06-12",1,4,19070006,"https://www.admin.ch/opc/fr/classified-compilation/19070006/200806120000/131.232.pdf",30,"1907-06-02",0
"131.233","Constitution de la République et Canton de Neuchâtel, du 24 septembre 2000","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/20010589/index.html","NA","FF 2001 2367","2000-09-24","/opc/fr/classified-compilation/20010589/history.html","201309230000/131.233.pdf","2013-09-23",3,5,20010589,"https://www.admin.ch/opc/fr/classified-compilation/20010589/201309230000/131.233.pdf",30,"2002-01-01",0
"131.234","Constitution de la République et canton de Genève, du 14 octobre 2012 (Cst.-GE)","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/20132788/index.html","Cst-GE","FF 2013 8313","2012-10-14","/opc/fr/classified-compilation/20132788/history.html","201706120000/131.234.pdf","2017-06-12",2,1,20132788,"https://www.admin.ch/opc/fr/classified-compilation/20132788/201706120000/131.234.pdf",50,"2013-06-01",0
"131.235","Constitution de la République et canton du Jura, du 20 mars 1977","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/19770054/index.html","NA","NA","1977-03-20","/opc/fr/classified-compilation/19770054/history.html","201706120000/131.235.pdf","2017-06-12",5,7,19770054,"https://www.admin.ch/opc/fr/classified-compilation/19770054/201706120000/131.235.pdf",40,"1977-03-20",0
"138.1","Loi fédérale du 22 décembre 1999 sur la participation des cantons à la politique extérieure de la Confédération (LFPC)","/opc/fr/classified-compilation/13.html","/opc/fr/classified-compilation/19996351/index.html","LFPC","RO 2000 1477","1999-12-22","/opc/fr/classified-compilation/19996351/history.html","200007010000/138.1.pdf","2000-07-01",1,0,19996351,"https://www.admin.ch/opc/fr/classified-compilation/19996351/200007010000/138.1.pdf",2,"2000-07-01",0
"141","Loi fédérale du 29 septembre 1952 sur l’acquisition et la perte de la nationalité suisse (Loi sur la nationalité, LN)","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/19520208/index.html","LN","RO 1952 1115","1952-09-29","/opc/fr/classified-compilation/19520208/history.html","201301010000/141.0.pdf","2013-01-01",7,17,19520208,"https://www.admin.ch/opc/fr/classified-compilation/19520208/201301010000/141.0.pdf",20,"1953-01-01",0
"141.21","Ordonnance du 23 novembre 2005 sur les émoluments perçus en application de la loi sur la nationalité (OE-LN)","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/20051678/index.html","OE-LN","RO 2005 5239","2005-11-23","/opc/fr/classified-compilation/20051678/history.html","200601010000/141.21.pdf","2006-01-01",1,0,20051678,"https://www.admin.ch/opc/fr/classified-compilation/20051678/200601010000/141.21.pdf",4,"2006-01-01",0
"142.2","Loi fédérale du 16 décembre 2005 sur les étrangers (LEtr)","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/20020232/index.html","LEtr","RO 2007 5437","2005-12-16","/opc/fr/classified-compilation/20020232/history.html","201701010000/142.20.pdf","2017-01-01",23,40,20020232,"https://www.admin.ch/opc/fr/classified-compilation/20020232/201701010000/142.20.pdf",82,"2008-01-01",0
"142.201","Ordonnance du 24 octobre 2007 relative à l’admission, au séjour et à l’exercice d’une activité lucrative (OASA)","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/20070993/index.html","OASA","RO 2007 5497","2007-10-24","/opc/fr/classified-compilation/20070993/history.html","201705010000/142.201.pdf","2017-05-01",29,33,20070993,"https://www.admin.ch/opc/fr/classified-compilation/20070993/201705010000/142.201.pdf",50,"2008-01-01",0
"142.201.1","Ordonnance du DFJP du 13 août 2015 relative aux autorisations soumises à la procédure d’approbation et aux décisions préalables dans le domaine du droit des étrangers","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/20151526/index.html","NA","RO 2015 2741","2015-08-13","/opc/fr/classified-compilation/20151526/history.html","201509010000/142.201.1.pdf","2015-09-01",1,0,20151526,"https://www.admin.ch/opc/fr/classified-compilation/20151526/201509010000/142.201.1.pdf",4,"2015-09-01",0
"142.203","Ordonnance du 22 mai 2002 sur l’introduction progressive de la libre circulation des personnes entre, d’une part, la Confédération suisse et, d’autre part, l’Union européenne et ses Etats membres, ainsi qu’entre les Etats membres de l’Association européenne de libre-échange (Ordonnance sur l’introduction de la libre circulation des personnes, OLCP)","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/20021010/index.html","OLCP","RO 2002 1741","2002-05-22","/opc/fr/classified-compilation/20021010/history.html","201706010000/142.203.pdf","2017-06-01",20,20,20021010,"https://www.admin.ch/opc/fr/classified-compilation/20021010/201706010000/142.203.pdf",16,"2002-06-01",0
"142.204","Ordonnance du 22 octobre 2008 sur l’entrée et l’octroi de visas (OEV)","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/20081126/index.html","OEV","RO 2008 5441","2008-10-22","/opc/fr/classified-compilation/20081126/history.html","201706110000/142.204.pdf","2017-06-11",31,34,20081126,"https://www.admin.ch/opc/fr/classified-compilation/20081126/201706110000/142.204.pdf",32,"2008-12-12",0
"142.205","Ordonnance du 24 octobre 2007 sur l’intégration des étrangers (OIE)","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/20070995/index.html","OIE","RO 2007 5551","2007-10-24","/opc/fr/classified-compilation/20070995/history.html","201401010000/142.205.pdf","2014-01-01",2,2,20070995,"https://www.admin.ch/opc/fr/classified-compilation/20070995/201401010000/142.205.pdf",10,"2008-01-01",0
"142.209","Ordonnance du 24 octobre 2007 sur les émoluments perçus en application de la loi sur les étrangers (Tarif des émoluments LEtr, Oem-LEtr)","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/20070987/index.html","Oem-LEtr","RO 2007 5561","2007-10-24","/opc/fr/classified-compilation/20070987/history.html","201510150000/142.209.pdf","2015-10-15",6,7,20070987,"https://www.admin.ch/opc/fr/classified-compilation/20070987/201510150000/142.209.pdf",10,"2008-01-01",0
"142.281","Ordonnance du 11 août 1999 sur l’exécution du renvoi et de l’expulsion d’étrangers (OERE)","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/19994789/index.html","OERE","RO 1999 2254","1999-08-11","/opc/fr/classified-compilation/19994789/history.html","201703010000/142.281.pdf","2017-03-01",12,13,19994789,"https://www.admin.ch/opc/fr/classified-compilation/19994789/201703010000/142.281.pdf",18,"1999-10-01",0
"142.281.3","Ordonnance du DFJP du 22 septembre 2014 sur les subventions de construction de la Confédération aux établissements d’exécution des mesures de contrainte relevant du droit des étrangers","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/20132306/index.html","NA","RO 2014 3111","2014-09-22","/opc/fr/classified-compilation/20132306/history.html","201703010000/142.281.3.pdf","2017-03-01",2,1,20132306,"https://www.admin.ch/opc/fr/classified-compilation/20132306/201703010000/142.281.3.pdf",4,"2014-10-15",0
"142.31","Loi du 26 juin 1998 sur l’asile (LAsi)","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/19995092/index.html","LAsi","RO 1999 2262","1998-06-26","/opc/fr/classified-compilation/19995092/history.html","201610010000/142.31.pdf","2016-10-01",19,35,19995092,"https://www.admin.ch/opc/fr/classified-compilation/19995092/201610010000/142.31.pdf",70,"1999-10-01",0
"142.311","Ordonnance 1 du 11 août 1999 sur l’asile relative à la procédure (Ordonnance 1 sur l’asile, OA 1)","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/19994776/index.html","OA 1","RO 1999 2302","1999-08-11","/opc/fr/classified-compilation/19994776/history.html","201703010000/142.311.pdf","2017-03-01",12,19,19994776,"https://www.admin.ch/opc/fr/classified-compilation/19994776/201703010000/142.311.pdf",24,"1999-10-01",0
"142.311.23","Ordonnance du DFJP du 24 novembre 2007 relative à l’exploitation des logements de la Confédération dans le domaine de l'asile","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/20072202/index.html","NA","RO 2007 6621","2007-11-24","/opc/fr/classified-compilation/20072202/history.html","201509290000/142.311.23.pdf","2015-09-29",2,3,20072202,"https://www.admin.ch/opc/fr/classified-compilation/20072202/201509290000/142.311.23.pdf",8,"2008-01-01",0
"142.312","Ordonnance 2 du 11 août 1999 sur l’asile relative au financement (Ordonnance 2 sur l’asile, OA 2)","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/19994777/index.html","OA 2","RO 1999 2318","1999-08-11","/opc/fr/classified-compilation/19994777/history.html","201703010000/142.312.pdf","2017-03-01",17,22,19994777,"https://www.admin.ch/opc/fr/classified-compilation/19994777/201703010000/142.312.pdf",44,"1999-10-01",0
"142.314","Ordonnance 3 du 11 août 1999 sur l’asile relative au traitement de données personnelles (Ordonnance 3 sur l’asile, OA 3)","/opc/fr/classified-compilation/14.html","/opc/fr/classified-compilation/19994786/index.html","OA 3","RO 1999 2351","1999-08-11","/opc/fr/classified-compilation/19994786/history.html","201704150000/142.314.pdf","2017-04-15",14,15,19994786,"https://www.admin.ch/opc/fr/classified-compilation/19994786/201704150000/142.314.pdf",24,"1999-10-01",0
