"bill_id","CAP_majortopic","machine_learning_coded","proposal_id","bill_title","bill_title_de","bill_date","bill_legislature","bill_parl_decision_date","proposal_total_bills","bill_act_type_detail","bill_direct_democracy","bill_dd_type","bill_type_description","proposal_related_department","proposal_descriptors","rs_id","bill_ro","bill_ro_url","ff_input_id","ff_output_id","bill_ff_output","bill_ff_output_url","bill_proposal_url_manual","bill_ff_page_start","bill_ff_page_end","bill_navettes","bill_treatment_outcome","bill_coder_comments","bill_international","bill_eu","bill_eu_implementation","bill_eu_adaptation","bill_initiation_date","bill_initiation_actor_type","bill_priority_council","bill_treatment_category","bill_conciliation","bill_nc_vote_date","bill_nc_vote_yes","bill_nc_vote_no","bill_nc_vote_abs","bill_sc_vote_date","bill_sc_vote_yes","bill_sc_vote_no","bill_sc_vote_abs","bill_referendum_launched","bill_urgency_clause","bill_consultations_count","bill_preparl_steps_count","majortopic","intervention_id1","intervention_id2","intervention_id3","intervention_id4","intervention_id5","intervention_id6","intervention_id7","intervention_id8","intervention_id9","intervention_id10","consultation_id1","consultation_id2","consultation_id3","io_id1","io_id2","io_id3","io_id4"
"19850040-1",12,0,"19850040","Loi fédérale d'organisation judiciaire","Bundesgesetz über die Organisation der Bundesrechtspflege","1985-06-29",42,"1989-06-23",1,12,"yes","optional","federal law","DFJP","Vorprüfungsverfahren, Streitwertgrenze, procédure d'examen préalable, valeur litigieuse, Recht, Rechtspflege, OG, Soziale Fragen, Sozialversicherung, Versicherungsgericht, Bundesrecht, Bundesrechtspflege, Rechtspflege, Bundesrechtspflegegesetz","173.110","","","","10105824","","","",211,254,2,"parl_adopted","1969 M  10010   Meilleure protection des droits constitutionnels du citoyen  (N
 24.9.69, Cadruvi;E  11.12.69

1969 P  10122   Assouplissement  des conditions  du recours de droit public
  (N 24.9.69, Bachmann)

1969  P  10123   Revision de la loi d'organisation  judiciaire (N 24.9.69,  Caroni)

Pas trouvés

JC_AC (FMAJ)","none","none","none","compatible_reform","1969-06-30","mp","CN/NC","","no","1989-06-23",95,36,NA,"1989-06-23",34,2,0,"no","none",1,4,"","","","","","","","","","","","1983-8","","","","","",""
"19850047-1",12,0,"19850047","Code pénal suisse Code pénal militaire (Infractions contre la vie et l'intégrité corporelle et contre la famille)","Schweizerisches Strafgesetzbuch, Militärstrafgesetz","1985-06-26",42,"1989-06-23",3,12,"yes","optional","federal law","DFJP","Sexualstrafrecht, Jugend, Brutalos, Video, Bürgerliches Strafrecht, Militärstrafrecht, Recht, Militär, Sicherheitspolitik, StGB, MStG, Gesundheit, Drogenpolitik, Droge, Betäubungsmittelgesetz, BetmG, Betäubungsmittel, Militärstrafgesetz, Schutzalter, Jugendschutz, Strafgesetzbuch","311.0","","","","10105825","","","",102,108,1,"parl_adopted","JC_OK","none","none","none","missing","1971-06-30","government","CE/SC","I","no","1989-06-23",109,2,NA,"1989-06-23",40,0,0,"yes","none",1,2,"","","","","","","","","","","","1981-1","","","","","",""
"19850047-2",12,0,"19850047","Code pénal militaire (Infractions d'ordre sexuel)","Schweizerisches Strafgesetzbuch Militarstrafgesetz (Strafbare Handlungen im Sexualbereich)","1985-06-26",42,"1991-06-21",3,12,"yes","optional","federal law","DFJP","Sexualstrafrecht, Jugend, Brutalos, Video, Bürgerliches Strafrecht, Militärstrafrecht, Recht, Militär, Sicherheitspolitik, StGB, MStG, Gesundheit, Drogenpolitik, Droge, Betäubungsmittelgesetz, BetmG, Betäubungsmittel, Militärstrafgesetz, Schutzalter, Jugendschutz, Strafgesetzbuch","311.0","","","","","","","",109,116,1.5,"parl_adopted","pas de ff_output

JC_AC","none","none","none","missing","1971-06-30","government","CE/SC","I","no","1991-06-21",124,3,NA,"1991-06-21",38,0,0,"no","none",1,2,"","","","","","","","","","","","1981-1","","","","","",""
"19850047-3",12,0,"19850047","Code pénal militaire (Répression disciplinaire de la petite consommation de stupéfiants)","Militärstrafgesetz (Disziplinarische Ahndung des Konsums geringer Mengen von Betäubungsmitteln)","1985-06-26",42,"1991-06-21",3,12,"yes","optional","federal law","DFJP","Sexualstrafrecht, Jugend, Brutalos, Video, Bürgerliches Strafrecht, Militärstrafrecht, Recht, Militär, Sicherheitspolitik, StGB, MStG, Gesundheit, Drogenpolitik, Droge, Betäubungsmittelgesetz, BetmG, Betäubungsmittel, Militärstrafgesetz, Schutzalter, Jugendschutz, Strafgesetzbuch","311.0","","","","","","","",117,117,0,"parl_adopted","pas de ff_output

JC : sur internet j'ai trouvé ça :
https://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?id=10146592

JC_AC ","none","none","none","missing","1971-06-30","government","CE/SC","I","no","1991-06-21",129,0,NA,"1991-06-21",40,0,0,"no","none",1,2,"","","","","","","","","","","","1981-1","","","","","",""
"19850069-1",5,0,"19850069","Loi fédérale sur le service de l'emploi et la location de services ","Bundesgesetz über die Arbeitsvermittlung und den Personalverleih (Arbeitsvermittlungsgesetz ; AVG)","1985-11-27",42,"1989-10-06",1,12,"yes","optional","federal law","DEFR","Wirtschaft, Arbeit, AVG, Arbeitsvermittlung, Personalverleih, Temporärfirma, OR, Arbeitsvermittlungsgesetz, Obligationenrecht","823.11","","","","10105941","","","",95,110,1.5,"parl_adopted","check dates consultation onglet pre-parliamentary, semble avoir erreur => JJ_OK","none","none","none","missing","1975-06-30","government","CN/NC","","no","1989-10-06",158,0,NA,"1989-10-06",33,4,0,"no","none",1,1,"","","","","","","","","","","","1983-31","","","","","",""
"19850075-1",17,0,"19850075","Arrêté fédéral sur la radiodiffusion par satellite","Bundesbeschluss über den Satellitenrundfunk","1985-12-20",42,"1987-12-18",1,12,"yes","optional","federal law","DETEC","Medien, Kommunikation","784.402","","","","10105314","","","",42,53,0.5,"parl_adopted","JC_OK","none","none","none","missing","1984-09-05","government","CE/SC","","no","1987-12-18",111,24,NA,"1987-12-18",33,1,0,"no","none",1,1,"","","","","","","","","","","","1985-1","","","","","",""
"19850226-1",20,0,"19850226","Loi sur les rapports entre les conseils ","Geschäftsverkehrsgesetz","1987-09-03",42,"1988-10-07",1,12,"yes","optional","federal law","Parl","","171.11","","","","10105585","","","",2,3,0,"parl_adopted","","none","none","none","missing","1985-02-06","mp","CN/NC","","no","1988-10-07",132,0,NA,"1988-10-07",40,0,0,"no","none",0,0,"","19850226","","","","","","","","","","","","","","","",""
"19850227-1",5,0,"19850227","Loi fédérale sur la partie générale du droit des assurances sociales (LPGA)","Bundesgesetz über den Allgemeinen Teil des Sozialversicherungsrechts (ATSG) ","1990-09-27",43,"2000-10-06",1,12,"yes","optional","federal law","Parl","","830.1","RO 2002 3371","http://www.admin.ch/opc/fr/official-compilation/2002/3371.pdf","","","FF 2000 4657","http://www.admin.ch/opc/fr/federal-gazette/2000/4657.pdf","",2,47,2,"parl_adopted","pas de ff_output

""Le délai pour la présentation d'une proposition est prolongé de deux ans."" différentes fois -> A compter dans les navettes ?

JC : je pense que non mais à vérifier quand même

JC_Q","none","none","none","partial_adaptation","1985-02-07","mp","CE/SC","V","no","2000-10-06",181,0,0,"2000-10-06",41,0,0,"no","none",2,2,"","19850227","","","","","","","","","","1986-1","1989-16","","","","",""
"19860030-1",15,0,"19860030","Loi fédérale visant à améliorer l'information des consommateurs","Bundesgesetz über die Förderung der Konsumenteninformation (Konsumenteninformationsgesetz, KIG)","1986-05-07",42,"1990-10-05",2,12,"yes","optional","federal law","DEFR","Widerrufsrecht, droit de révocation, Wirtschaft, Konsumentenschutz, KIG, OR, Recht, Konsumentenorganisation, Strassenverkauf, Wirtschaft, Konsumenteninformation, Vertragsrecht, Konsument, Obligationenrecht, Konsumenteninformationsgesetz","944.0","","","","10106311","","","",48,51,2,"parl_adopted","Proposal title et liens n'apparaissent pas :

Curia vista mettre : https://www.parlament.ch/afs/data/f/gesch/1986/f_gesch_19860030_620.htm

Message :

http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?id=10104750

Proposal title : MESSAGE à  l'appui  d'une  loi  fédérale  visant  à  améliorer l'information des consommateurs et d'une  loi  fédérale  modifiant  le   code des obligations (De  la  formation  des obligations) du   7  mai 1986

JC_AC (FMAJ)","none","none","none","no_eu_law","1981-10-06","government","CE/SC","III","no","1990-10-05",132,0,NA,"1990-10-05",33,1,0,"no","none",1,1,"","","","","","","","","","","","1984-15","","","","","",""
"19860030-2",12,0,"19860030","Loi fédérale modifiant le code des obligations","Bundesgesetz über die Änderung des Obligationenrechts (Die Entstehung der Obligationen)","1986-05-07",42,"1990-10-05",2,12,"yes","optional","federal law","DEFR","Widerrufsrecht, droit de révocation, Wirtschaft, Konsumentenschutz, KIG, OR, Recht, Konsumentenorganisation, Strassenverkauf, Wirtschaft, Konsumenteninformation, Vertragsrecht, Konsument, Obligationenrecht, Konsumenteninformationsgesetz","220","","","","10106312","","","",52,55,1,"parl_adopted","Proposal title et liens n'apparaissent pas :

Curia vista mettre : https://www.parlament.ch/afs/data/f/gesch/1986/f_gesch_19860030_620.htm

Message :
http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?id=10104750

Proposal title : MESSAGE à  l'appui  d'une  loi  fédérale  visant  à  améliorer l'information des consommateurs et d'une  loi  fédérale  modifiant  le   code des obligations (De  la  formation  des obligations) du   7  mai 1986

JC_AC (FMAJ)","none","none","none","missing","1981-10-06","government","CE/SC","III","no","1990-10-05",142,0,NA,"1990-10-05",35,1,0,"no","none",1,1,"","","","","","","","","","","","1984-15","","","","","",""
"19860036-1",4,0,"19860036","Arrêté sur l'économie laitière 1987 (AEL 1987)","Milchwirtschaftsbeschluss 1987","1986-06-16",42,"1988-12-16",1,12,"yes","optional","federal law","DEFR","Landwirtschaft, MWB, Milchwirtschaftsbeschluss, Milchwirtschaft, Milch, Milchkontigent","916.350.1","","","","10105645","","","",118,130,0.5,"parl_adopted","JC_OK","none","none","none","missing","1983-06-30","government","CN/NC","","no","1988-12-16",146,1,NA,"1988-12-16",39,0,0,"no","none",1,1,"","","","","","","","","","","","1985-9","","","","","",""
"19860043-1",10,0,"19860043","Loi fédérale sur la circulation routière (LCR)","Strassenverkehrsgesetz (SVG). Aenderung ","1986-08-27",42,"1989-10-06",1,12,"yes","optional","federal law","DFJP","Verkehr, Strassenverkehr, SVG, Strassenverkehrsgesetz","741.01","","","","10105942","","","",27,32,1,"parl_adopted","JC_OK","none","none","none","missing","1980-03-21","government","CN/NC","","no","1989-10-06",115,43,NA,"1989-10-06",34,3,0,"no","none",1,2,"","","","","","","","","","","","1984-16","","","","","",""
"19860052-3",1,1,"19860052","Arrêté fédéral concernant le supplément II du budget pour 1987
","Bundesbeschluss über den Nachtrag II zum Voranschlag 1987","1987-10-28",42,"1987-12-15",3,42,"no","none","simple federal decree regarding a funding decision","DFF","Finanzen, Finanzhaushalt","","","","","10105316","","","http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?ID=90001482",7,7,0,"parl_adopted","Message concernant  le second supplément du  budget  pour 1987 (du  28  octobre  1987):
http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?ID=90001482
input = p. 7

JC_AC (FMAJ)

JJ_OK","","","","","","","CN/NC","","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19860055-1",20,1,"19860055","Arrêté fédéral relatif à l'initiative populaire ""pour la protection des consommateurs""","Bundesbeschluss über die «Eidgenössische Konsumentenschutz-Initiative»","1986-09-29",42,"1987-12-18",1,31,"yes","initiative","federal decree regarding a popular initiative","DEFR","Wirtschaft, Konsumentenschutz, Volksinitiative, Konsument","","","","","10105309","","","",76,77,0,"parl_adopted","Proposal_title n'apparait pas mettre les liens à jour

JJ_note : lien trouvé ici : http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?ID=10104913

JC_AC (FMAJ)

JJ_OK","none","none","none","missing","1984-07-02","people","CE/SC","III","no","1987-12-18",149,0,NA,"1987-12-18",38,0,0,"","none",0,0,"","","","","","","","","","","","","","","","","",""
"19860056-3",1,0,"19860056","Arrêté fédéral concernant le supplément II au budget financier de l'Entreprise des PTT pour l'année 1987","Bundesbeschluss über den Finanzvoranschlag der PTT-Betriebe für das Jahr 1988","1987-10-21",42,"1987-12-15",3,42,"no","none","simple federal decree regarding a funding decision","DETEC","Medien, Kommunikation, Post, PTT, Finanzen","","","","","10105320","","","",NA,NA,0,"parl_adopted","bill_dd : no

JJ_note : modification du titre (avant doublon avec 19870056-1 mais probablement erreur) et de la date output (avant indiqué 2 décembre)

JC : pas trouvé le message

JC_AC

JJ_OK","","","","","","","CN/NC","","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19860069-1",1,0,"19860069","Loi fédérale sur les aides financières et les indemnités (Loi sur les subventions, LSu)","Bundesgesetz über Finanzhilfen und Abgeltungen (Subventionsgesetz, SuG)","1986-12-15",42,"1990-10-05",1,12,"yes","optional","federal law","DFF","Finanzen, Finanzhaushalt, Subvention, Abgeltung, Finanzhilfe","616.1","","","","10106309","","","",74,100,0.5,"parl_adopted","","none","none","none","missing","1976-12-15","mp","CN/NC","IV","no","1990-10-05",142,2,NA,"1990-10-05",38,1,0,"no","none",1,1,"","","","","","","","","","","","1982-4","","","","","",""
"19860226-1",20,0,"19860226","Loi sur les rapports entre les conseils","Geschäftsverkehrsgesetz. Änderung","1986-06-19",42,"1990-06-22",1,12,"yes","optional","federal law","Parl","","171.11","","","","10106210","","","",3,5,3,"parl_adopted","JC : interevntions 19840385 et 19840386 enlevées

JC_M","none","none","none","missing","1978-12-06","mp","CE/SC","","no","1990-06-22",139,0,NA,"1990-06-22",40,0,0,"no","none",0,0,"","19780234","","","","","","","","","","","","","","","",""
"19860240-1",12,0,"19860240","Loi fédérale modifiant l'article 325 du code des obligations","Bundesbeschluss über eine Änderung von Artikel 325 des Obligationenrechts","1989-08-30",43,"1990-12-14",1,12,"yes","optional","federal law","Parl","","220","","","","10106388","","","",2,3,0,"parl_adopted","JC_OK","none","none","none","missing","1986-12-10","mp","CN/NC","","no","1990-12-14",142,0,NA,"1990-12-14",41,0,0,"no","none",0,0,"","19860240","","","","","","","","","","","","","","","",""
"19860246-1",20,0,"19860246","Règlement du Conseil national","Geschäftsreglement des Nationalrates. Änderung","1989-08-17",43,"1990-06-22",1,21,"no","none","ordinance","Parl","","","","","","","","","",5,71,0,"parl_adopted","pas de ff_output

JC_AC","","","","","1986-12-19","mp","CE/SC","","no","1990-06-22",139,0,NA,"",NA,NA,NA,"","",NA,0,"","19860246","","","","","","","","","","","","","","","",""
"19870014-1",19,1,"19870014","Arrêté fédéral concernant le financement de la coopération technologique en Europe pour la période 1988-1991","Bundesbeschluss über die Finanzierung der technologischen Zusammenarbeit in Europa 1988-1991","1987-06-01",42,"1987-12-16",1,42,"no","none","simple federal decree regarding a funding decision","DEFR","Europapolitik, Technische Zusammenarbeit","","","","","10105318","","","",34,34,0,"parl_adopted","","none","none","none","compatible_reform","","government","CN/NC","","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19870034-2",4,1,"19870034","Arrêté fédéral concernant l'Accord avec la République française sur l'assistance mutuelle en cas de catastrophe ou d'accident grave","Bundesbeschluss betreffend das Abkommen mit der Regierung der Französischen Republik über die gegenseitige Hilfeleistung bei Katastrophen oder schweren Unglücksfällen","1987-04-08",42,"1987-12-10",2,41,"no","none","simple federal decree approving an international agreement (not submitted to referendum regarding international treaties)","DFAE","Europapolitik, internationales Uebereinkommen, BRD, Frankreich, Katastrophenhilfe","","","","","","","","",9,9,0,"parl_adopted","pas de ff_output

JC_AC","","","","","","","CN/NC","","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19870036-1",7,0,"19870036","Loi fédérale sur la protection des eaux","Bundesgesetz über den Schutz der Gewässer","1987-04-29",42,"1991-01-24",2,12,"yes","optional","federal law","DFI","Gewässerschutz, Restwasser, Landschaftsrappen, Tierfabrik, Umwelt, GSchG, Konzession, Volksinitiative, Gewässerschutzgesetz, Tier, Restwassermenge, Tierschutz, Umweltschutz","814.20","","","","10106433","","","",125,151,3.5,"parl_adopted","JC_OK","none","none","none","missing","1975-12-07","government","CN/NC","I","no","1991-01-24",140,3,NA,"1991-01-24",26,0,0,"no","none",1,3,"","","","","","","","","","","","1984-17","","","","","",""
"19870036-2",20,1,"19870036","Arrêté fédéral concernant l'initiative populaire «pour la sauvegarde de nos eaux»","Bundesbeschluss über die Volksinitiative «zur Rettung unserer Gewässer»","1987-04-29",42,"1989-10-06",2,31,"yes","initiative","federal decree regarding a popular initiative","DFI","Gewässerschutz, Restwasser, Landschaftsrappen, Tierfabrik, Umwelt, GSchG, Konzession, Volksinitiative, Gewässerschutzgesetz, Tier, Restwassermenge, Tierschutz, Umweltschutz","","","","","10105933","","","",123,124,0,"parl_adopted","JC_OK","none","none","none","missing","1984-10-09","people","CN/NC","I","no","1989-10-06",79,69,NA,"1989-10-06",37,6,0,"","none",0,0,"","","","","","","","","","","","","","","","","",""
"19870037-1",20,1,"19870037","Arrêté fédéral concernant l'approbation d'une attribution de compétence au Tribunal fédéral par le canton de Fribourg","Bundesbeschluss über die Genehmigung einer Kompetenzzuweisung des Kantons Freiburg an das Bundesgericht","1987-05-06",42,"1988-03-03",1,43,"no","none","other simple federal decree","DFJP","Recht, Staatspolitik, Bund und Kantone","","","","","10105392","","","",8,8,0,"parl_adopted","","none","none","none","missing","","","CN/NC","","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19870039-1",15,0,"19870039","Loi fédérale sur l'encouragement du crédit à l'hôtellerie et aux stations de villégiature","Bundesgesetz über die Förderung des Hotel- und Kurortskredites","1987-05-06",42,"1987-12-18",1,12,"yes","optional","federal law","DEFR","Verkehr, Tourismus, Hotelkredit, Kurortskredit, Fremdenverkehr, Hotellerie, Hotel","935.12","","","","10105312","","","",28,29,0,"parl_adopted","JC_OK","none","none","none","missing","1985-07-01","government","CN/NC","","no","1987-12-18",93,25,NA,"1987-12-18",40,0,0,"no","none",1,3,"","","","","","","","","","","","1986-11","","","","","",""
