"id","last_name","first_name","gender","citizenship","canton_abbreviation","council_id","council_abbreviation","council_type","faction_id","faction_abbreviation","party_abbreviation","download_date","birth_date","death_date","membership_entry_date","membership_leaving_date","mp_name"
1371,"Aepli","Arnold Otto","m","St. Gallen (SG), Diessenhofen (TG)","SG",2,"CE","S",126,"MC","Lib*","2016-12-08 18:12:56","1816-08-22","1897-12-04","1850-07-01","1851-06-01","Arnold Otto Aepli"
1371,"Aepli","Arnold Otto","m","St. Gallen (SG), Diessenhofen (TG)","SG",2,"CE","S",126,"MC","Lib*","2016-12-08 18:12:56","1816-08-22","1897-12-04","1851-12-01","1852-12-01","Arnold Otto Aepli"
1371,"Aepli","Arnold Otto","m","St. Gallen (SG), Diessenhofen (TG)","SG",2,"CE","S",126,"MC","Lib*","2016-12-08 18:12:56","1816-08-22","1897-12-04","1853-07-04","1853-12-01","Arnold Otto Aepli"
1371,"Aepli","Arnold Otto","m","St. Gallen (SG), Diessenhofen (TG)","SG",2,"CE","S",126,"MC","Lib*","2016-12-08 18:12:56","1816-08-22","1897-12-04","1857-12-07","1864-06-01","Arnold Otto Aepli"
1371,"Aepli","Arnold Otto","m","St. Gallen (SG), Diessenhofen (TG)","SG",2,"CE","S",126,"MC","Lib*","2016-12-08 18:12:56","1816-08-22","1897-12-04","1865-07-03","1868-07-05","Arnold Otto Aepli"
1371,"Aepli","Arnold Otto","m","St. Gallen (SG), Diessenhofen (TG)","SG",2,"CE*","S",126,"MC","Lib*","2016-12-08 18:12:56","1816-08-22","1897-12-04","1868-07-06","1868-12-23","Arnold Otto Aepli"
1371,"Aepli","Arnold Otto","m","St. Gallen (SG), Diessenhofen (TG)","SG",2,"CE","S",126,"MC","Lib*","2016-12-08 18:12:56","1816-08-22","1897-12-04","1868-12-24","1872-06-01","Arnold Otto Aepli"
1371,"Aepli","Arnold Otto","m","St. Gallen (SG), Diessenhofen (TG)","SG",1,"CN","N",126,"MC","Lib*","2016-12-08 18:12:56","1816-08-22","1897-12-04","1872-12-02","1876-06-04","Arnold Otto Aepli"
1371,"Aepli","Arnold Otto","m","St. Gallen (SG), Diessenhofen (TG)","SG",1,"CN*","N",126,"MC","Lib*","2016-12-08 18:12:56","1816-08-22","1897-12-04","1876-06-05","1877-03-28","Arnold Otto Aepli"
1371,"Aepli","Arnold Otto","m","St. Gallen (SG), Diessenhofen (TG)","SG",1,"CN","N",126,"MC","Lib*","2016-12-08 18:12:56","1816-08-22","1897-12-04","1877-03-29","1883-05-01","Arnold Otto Aepli"
298,"Aeppli","Regine","f","Zürich (ZH), Stäfa (ZH), Bauma (ZH)","ZH",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1952-10-05","","1995-12-04","2003-11-30","Regine Aeppli"
1372,"Aeschbach","Adolf","m","Burg (AG)","AG",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1888-10-08","1969-03-19","1943-12-06","1959-12-06","Adolf Aeschbach"
1373,"Aeschbacher","Ferdinand","m","Rüderswil (BE)","ZH",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1893-11-11","1950-01-07","1939-12-04","1940-12-01","Ferdinand Aeschbacher"
449,"Aeschbacher","Ruedi","m","Zürich (ZH), Trachselwald (BE)","ZH",1,"CN","N",102,"E","PEV","2016-12-08 18:12:56","1941-09-15","","1999-12-06","2003-11-30","Ruedi Aeschbacher"
449,"Aeschbacher","Ruedi","m","Zürich (ZH), Trachselwald (BE)","ZH",1,"CN","N",102,"E","PEV","2016-12-08 18:12:56","1941-09-15","","2003-12-01","2007-12-02","Ruedi Aeschbacher"
449,"Aeschbacher","Ruedi","m","Zürich (ZH), Trachselwald (BE)","ZH",1,"CN","N",3,"CEg","PEV","2016-12-08 18:12:56","1941-09-15","","2007-12-03","2010-05-30","Ruedi Aeschbacher"
4053,"Aeschi","Thomas","m","Himmelried (SO), Baar (ZG), Basel (BS)","ZG",1,"CN","N",4,"V","UDC","2016-12-08 18:12:56","1979-01-13","","2011-12-05","2015-11-29","Thomas Aeschi"
4053,"Aeschi","Thomas","m","Himmelried (SO), Baar (ZG), Basel (BS)","ZG",1,"CN","N",4,"V","UDC","2016-12-08 18:12:56","1979-01-13","","2015-11-30","","Thomas Aeschi"
648,"Affolter","Alfred","m","Leuzigen (BE)","ZH",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1941-05-24","","1979-11-26","1983-11-27","Alfred Affolter"
1374,"Affolter","Amanz Kaspar","m","Niedergerlafingen (SO)","SO",2,"CE","S",1,"R","PLR","2016-12-08 18:12:56","1825-06-10","1861-09-28","1856-07-07","1861-09-28","Amanz Kaspar Affolter"
1375,"Affolter","Hans","m","Solothurn (SO), Niedergerlafingen (SO)","SO",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1870-10-02","1936-09-28","1911-12-04","1912-12-03","Hans Affolter"
1375,"Affolter","Hans","m","Solothurn (SO), Niedergerlafingen (SO)","SO",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1870-10-02","1936-09-28","1912-12-04","1930-12-11","Hans Affolter"
777,"Affolter","Max","m","Gerlafingen (SO), Olten (SO)","SO",2,"CE","S",1,"R","PLR","2016-12-08 18:12:56","1923-12-30","1991-03-08","1979-11-26","1990-11-25","Max Affolter"
777,"Affolter","Max","m","Gerlafingen (SO), Olten (SO)","SO",2,"CE*","S",1,"R","PLR","2016-12-08 18:12:56","1923-12-30","1991-03-08","1990-11-26","1991-03-01","Max Affolter"
1376,"Agostinetti","Emilio","m","Gerra (Gambarogno) (TI)","TI",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1912-02-27","1983-08-04","1947-12-01","1966-12-01","Emilio Agostinetti"
1,"Aguet","Pierre","m","Sullens (VD), Lutry (VD)","VD",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1938-03-02","","1987-11-30","1995-12-03","Pierre Aguet"
1,"Aguet","Pierre","m","Sullens (VD), Lutry (VD)","VD",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1938-03-02","","1995-12-04","1999-12-05","Pierre Aguet"
1377,"Agustoni","Mario","m","Monte (TI)","TI",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1902-01-03","1982-10-28","1943-12-06","1947-11-30","Mario Agustoni"
1377,"Agustoni","Mario","m","Monte (TI)","TI",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1902-01-03","1982-10-28","1963-12-02","1965-02-08","Mario Agustoni"
1378,"Airoldi","Giovanni","m","Lugano (TI)","TI",2,"CE","S",126,"MC","PdP->Fusio","2016-12-08 18:12:56","1823-01-23","1894-08-03","1852-07-05","1853-02-01","Giovanni Airoldi"
1378,"Airoldi","Giovanni","m","Lugano (TI)","TI",2,"CE","S",126,"MC","PdP->Fusio","2016-12-08 18:12:56","1823-01-23","1894-08-03","1869-07-05","1874-01-01","Giovanni Airoldi"
649,"Akeret","Erwin","m","Andelfingen (ZH), Nussbaumen (AG)","ZH",1,"CN","N",4,"BGB","UDC","2016-12-08 18:12:56","1915-01-08","1987-09-12","1955-12-05","1971-12-31","Erwin Akeret"
649,"Akeret","Erwin","m","Andelfingen (ZH), Nussbaumen (AG)","ZH",1,"CN","N",4,"V","UDC","2016-12-08 18:12:56","1915-01-08","1987-09-12","1972-01-01","1983-11-27","Erwin Akeret"
1379,"Albrecht","August","m","Mels (SG)","NW",1,"CN","N",3,"K","PDC","2016-12-08 18:12:56","1907-11-16","1988-04-12","1967-12-04","1970-12-31","August Albrecht"
1379,"Albrecht","August","m","Mels (SG)","NW",1,"CN","N",3,"C","PDC","2016-12-08 18:12:56","1907-11-16","1988-04-12","1971-01-01","1979-11-25","August Albrecht"
1380,"Albrecht","H. Jakob","m","Stadel (ZH)","ZH",1,"CN","N",126,"MC","Lib*","2016-12-08 18:12:56","1825-09-17","1876-06-25","1873-01-01","1874-11-01","H. Jakob Albrecht"
1381,"Albrecht","Hans","m","Mels (SG)","SG",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1909-10-02","1995-10-20","1952-06-03","1959-12-06","Hans Albrecht"
1382,"Albrecht","Jakob","m","Müllheim (TG)","TG",2,"CE","S",125,"LG","Lib*","2016-12-08 18:12:56","1806-02-24","1855-07-08","1851-12-01","1855-06-01","Jakob Albrecht"
1383,"Albrecht","Luigi","m","Somvix (GR), Lax (VS)","GR",1,"CN","N",3,"K","PDC","2016-12-08 18:12:56","1889-10-24","1955-01-24","1943-12-06","1955-01-24","Luigi Albrecht"
1384,"Albrici","Prospero","m","Poschiavo (GR)","GR",2,"CE","S",1,"R","PLR","2016-12-08 18:12:56","1822-03-18","1883-12-14","1873-07-07","1874-07-01","Prospero Albrici"
650,"Alder","Claudius","m","Schönengrund (AR), Ziefen (BL)","BL",1,"CN","N",5,"U","AdI","2016-12-08 18:12:56","1938-03-28","","1979-11-26","1983-10-23","Claudius Alder"
650,"Alder","Claudius","m","Schönengrund (AR), Ziefen (BL)","BL",1,"CN","N",5,"U","AdI","2016-12-08 18:12:56","1938-03-28","","1983-10-24","1983-11-27","Claudius Alder"
300,"Alder","Fredi","m","Winterthur (ZH)","SG",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1943-04-14","","1995-12-04","1999-12-05","Fredi Alder"
714,"Aliesch","Peter","m","Fanas (GR), Chur (GR)","GR",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1946-11-26","","1983-11-28","1990-12-31","Peter Aliesch"
1131,"Allemann","Evi","f","Köniz (BE), Welschenrohr (SO)","BE",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1978-07-16","","2003-12-01","2007-12-02","Evi Allemann"
1131,"Allemann","Evi","f","Köniz (BE), Welschenrohr (SO)","BE",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1978-07-16","","2007-12-03","2011-12-04","Evi Allemann"
1131,"Allemann","Evi","f","Köniz (BE), Welschenrohr (SO)","BE",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1978-07-16","","2011-12-05","2015-11-29","Evi Allemann"
1131,"Allemann","Evi","f","Köniz (BE), Welschenrohr (SO)","BE",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1978-07-16","","2015-11-30","","Evi Allemann"
1385,"Allemann","Werner","m","Farnern (BE)","AG",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1902-07-25","1972-08-23","1944-09-18","1963-12-01","Werner Allemann"
2,"Allenspach","Heinz","m","Kreuzlingen (TG), Fällanden (ZH)","ZH",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1928-02-22","","1979-11-26","1995-12-03","Heinz Allenspach"
1386,"Allet","Alexis","m","Leuk (VS)","VS",1,"CN","N",3,"K","PDC","2016-12-08 18:12:56","1820-04-09","1888-02-01","1851-12-01","1872-12-01","Alexis Allet"
1387,"Allgöwer","Walter","m","St. Gallen (SG)","BS",1,"CN","N",5,"U","AdI","2016-12-08 18:12:56","1912-08-18","1980-04-16","1963-12-02","1979-11-25","Walter Allgöwer"
1388,"Allgöwer","Werner","m","St. Gallen (SG), Luzern (LU)","LU",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1879-03-24","1966-02-21","1950-06-05","1955-12-04","Werner Allgöwer"
1389,"Alméras","Alexandre Félix","m","Genf (GE)","GE",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1811-01-29","1868-12-11","1848-11-06","1854-12-03","Alexandre Félix Alméras"
1389,"Alméras","Alexandre Félix","m","Genf (GE)","GE",2,"CE","S",1,"R","PLR","2016-12-08 18:12:56","1811-01-29","1868-12-11","1860-01-09","1862-12-01","Alexandre Félix Alméras"
1390,"Altherr","Gustav","m","Speicher (AR)","AR",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1870-08-28","1954-07-18","1931-06-01","1935-12-01","Gustav Altherr"
1256,"Altherr","Hans","m","Trogen (AR)","AR",2,"CE","S",1,"RL","PLR","2016-12-08 18:12:56","1950-04-29","","2004-03-08","2007-12-02","Hans Altherr"
1256,"Altherr","Hans","m","Trogen (AR)","AR",2,"CE","S",1,"RL","PLR","2016-12-08 18:12:56","1950-04-29","","2007-12-03","2008-11-21","Hans Altherr"
1256,"Altherr","Hans","m","Trogen (AR)","AR",2,"CE","S",1,"RL","PLR","2016-12-08 18:12:56","1950-04-29","","2008-11-22","2011-12-04","Hans Altherr"
1256,"Altherr","Hans","m","Trogen (AR)","AR",2,"CE*","S",1,"RL","PLR","2016-12-08 18:12:56","1950-04-29","","2011-12-05","2012-11-25","Hans Altherr"
1256,"Altherr","Hans","m","Trogen (AR)","AR",2,"CE","S",1,"RL","PLR","2016-12-08 18:12:56","1950-04-29","","2012-11-26","2015-11-29","Hans Altherr"
1391,"Altherr","Hermann","m","Speicher (AR)","AR",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1848-02-28","1927-11-04","1905-06-05","1911-12-03","Hermann Altherr"
1392,"Altwegg","Johannes","m","Herrenhof (TG), Frauenfeld (TG)","TG",2,"CE","S",1,"R","PLR","2016-12-08 18:12:56","1847-11-21","1888-11-17","1880-11-29","1888-11-17","Johannes Altwegg"
1393,"Altwegg","Paul","m","Herrenhof (TG), Frauenfeld (TG)","TG",2,"CE","S",1,"R","PLR","2016-12-08 18:12:56","1884-03-09","1952-07-03","1935-12-02","1944-12-03","Paul Altwegg"
1393,"Altwegg","Paul","m","Herrenhof (TG), Frauenfeld (TG)","TG",2,"CE*","S",1,"R","PLR","2016-12-08 18:12:56","1884-03-09","1952-07-03","1944-12-04","1945-12-03","Paul Altwegg"
1393,"Altwegg","Paul","m","Herrenhof (TG), Frauenfeld (TG)","TG",2,"CE","S",1,"R","PLR","2016-12-08 18:12:56","1884-03-09","1952-07-03","1945-12-04","1951-12-02","Paul Altwegg"
1394,"Amacker","Antoine-Joseph","m","St-Maurice (VS)","VS",2,"CE","S",126,"MC","Lib*","2016-12-08 18:12:56","1794-07-03","1862-03-17","1857-07-06","1859-04-01","Antoine-Joseph Amacker"
3868,"Amacker-Amann","Kathrin","f","Basel (BS), Eischoll (VS)","BL",1,"CN","N",3,"CEg","PDC","2016-12-08 18:12:56","1962-03-30","","2007-12-03","2010-11-28","Kathrin Amacker-Amann"
4107,"Amarelle","Cesla","f","Winterthur (ZH), Yverdon-les-Bains (VD)","VD",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1973-09-14","","2011-12-05","2015-11-29","Cesla Amarelle"
4107,"Amarelle","Cesla","f","Winterthur (ZH), Yverdon-les-Bains (VD)","VD",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1973-09-14","","2015-11-30","","Cesla Amarelle"
4090,"Amaudruz","Céline","f","Lutry (VD)","GE",1,"CN","N",4,"V","UDC","2016-12-08 18:12:56","1979-03-15","","2011-12-05","2015-11-29","Céline Amaudruz"
4090,"Amaudruz","Céline","f","Lutry (VD)","GE",1,"CN","N",4,"V","UDC","2016-12-08 18:12:56","1979-03-15","","2015-11-30","","Céline Amaudruz"
1395,"Amberg","Johann","m","Sursee (LU)","LU",1,"CN","N",3,"K","PDC","2016-12-08 18:12:56","1830-01-17","1887-08-18","1873-11-03","1878-12-01","Johann Amberg"
1396,"Ambühl","Johann Ulrich","m","Krummenau (SG)","SG",1,"CN","N",126,"MC","Lib*","2016-12-08 18:12:56","1819-01-28","1872-07-28","1869-12-06","1872-07-28","Johann Ulrich Ambühl"
1107,"Amgwerd","Madeleine","f","Sattel (SZ), Schwyz (SZ)","JU",2,"CE","S",3,"C","PDC","2016-12-08 18:12:56","1946-08-01","","2003-12-01","2007-12-02","Madeleine Amgwerd"
1288,"Amherd","Viola","f","Mund (VS), Brig-Glis (VS), Zwischbergen (VS), Naters (VS)","VS",1,"CN","N",3,"C","PDC","2016-12-08 18:12:56","1962-06-07","","2005-05-31","2007-12-02","Viola Amherd"
1288,"Amherd","Viola","f","Mund (VS), Brig-Glis (VS), Zwischbergen (VS), Naters (VS)","VS",1,"CN","N",3,"CEg","PDC","2016-12-08 18:12:56","1962-06-07","","2007-12-03","2011-12-04","Viola Amherd"
1288,"Amherd","Viola","f","Mund (VS), Brig-Glis (VS), Zwischbergen (VS), Naters (VS)","VS",1,"CN","N",3,"CE","PDC","2016-12-08 18:12:56","1962-06-07","","2011-12-05","2015-11-29","Viola Amherd"
1288,"Amherd","Viola","f","Mund (VS), Brig-Glis (VS), Zwischbergen (VS), Naters (VS)","VS",1,"CN","N",3,"C","PDC","2016-12-08 18:12:56","1962-06-07","","2015-11-30","","Viola Amherd"
1397,"Ammann","Johann Heinrich","m","Schaffhausen (SH)","SH",2,"CE","S",125,"LG","Lib*","2016-12-08 18:12:56","1820-10-10","1867-08-17","1849-11-12","1855-06-01","Johann Heinrich Ammann"
1397,"Ammann","Johann Heinrich","m","Schaffhausen (SH)","SH",2,"CE","S",125,"LG","Lib*","2016-12-08 18:12:56","1820-10-10","1867-08-17","1857-07-06","1859-06-01","Johann Heinrich Ammann"
1397,"Ammann","Johann Heinrich","m","Schaffhausen (SH)","SH",1,"CN","N",126,"MC","Lib*","2016-12-08 18:12:56","1820-10-10","1867-08-17","1860-12-03","1863-12-06","Johann Heinrich Ammann"
1398,"Ammann","Johann-Kaspar","m","Unterstrass bei Zürich (ZH), Aussersihl (ZH)","ZH",2,"CE","S",125,"LG","Lib*","2016-12-08 18:12:56","1803-11-12","1870-11-06","1849-04-16","1849-08-01","Johann-Kaspar Ammann"
1399,"Ammann","P. Albert","m","Schaffhausen (SH)","SH",2,"CE","S",1,"R","PLR","2016-12-08 18:12:56","1860-10-07","1929-06-04","1896-12-07","1905-12-03","P. Albert Ammann"
1399,"Ammann","P. Albert","m","Schaffhausen (SH)","SH",2,"CE*","S",1,"R","PLR","2016-12-08 18:12:56","1860-10-07","1929-06-04","1905-12-04","1906-12-03","P. Albert Ammann"
