"consultation_date_end","consultation_date_start","consultation_department","consultation_id","consultation_title"
"1980-09-15","1980-08-14","DFAE","1980-24","Abkommen mit Frankreich über die Bildung einer Gemischten Grenzkommission für den geografischen Jura"
"1980-10-31","1980-08-28","DFAE","1980-25","Abkommen mit Frankreich über gegenseitige Hilfe im Katastrophenfall"
"1980-11-15","1980-08-29","DFI","1980-26","Klärschlammverordnung"
"1980-12-31","1980-09-25","DFAE","1980-27","Europäisches Rahmenübereinkommen über die grenzüberschreitende Zusammenarbeit"
"1980-12-01","1980-09-26","DFI","1980-28","Verordnung der Desinfektion und Entwesung"
"1980-10-31","1980-10-01","DFAE","1980-29","Abkommen mit der BRD über gegenseitige Hilfe im Katastrophenfall"
"1980-05-16","1980-02-04","DFE","1980-3","Tierschutzverordnung"
"1980-07-31","1980-02-05","DFI","1980-4","Vorentwürfe zu einem Bundesgesetz über Wildfauna und Jagd"
"1980-05-15","1980-03-05","DETEC","1980-5","Änderung des BG vom 8.10.71 über die Arbeit in Unternehmen des öffentlichen Verkehrs (Arbeitszeitgesetz)"
"1984-01-20","1983-11-21","DFJP","1983-26","Revision des Obligationenrechts zur Verstärkung des Kündigungsschutzes der Arbeitnehmer"
"1984-02-29","1983-11-17","DFJP","1983-25","Gesetzgebung über die missbräuchliche Verwendung von Insiderwissen (Insidergeschäfte)"
"1983-09-30","1983-04-05","DFJP","1983-8","Revision des Bundesgesetzes über die Organisation der Bundesrechtspflege(OG)"
"1981-09-30","1981-02-25","DFJP","1981-1","Änderung des Strafgesetzbuches und des Militärstrafgesetzes betreffend die strafbaren Handlungen gegen Leib und Leben, gegen die Sittlichkeit und gegen die Familie"
"1984-05-31","1983-12-22","DFE","1983-31","Revision des Arbeitsvermittlungsgesetzes vom 22.6.1951; Vorentwurf eines BG über die Arbeitsvermittlung und den Personalverleih"
"1985-07-31","1985-04-10","DETEC","1985-1","Bundesbeschluss über den Satellitenrundfunk"
"1986-06-30","1986-02-13","DFI","1986-1","Entwurf eines Bundesgesetz über einen Allgemeinen Teil zum Sozialversicherungsrecht"
"1990-02-28","1989-12-07","DFI","1989-16","Bundesgesetz über den Allgemeinen Teil des Sozialversicherungsrechts"
"1984-10-31","1984-06-19","DFE","1984-15","Bundesgesetz über die Förderung der Konsumenteninformation und Bundesgesetz über die Änderung von Erlassen im Bereich des Vertrags- und Wettbewerbsrechts"
"1985-11-30","1985-07-11","DFE","1985-9","Milchwirtschaftsbeschluss 1987"
"1984-11-30","1984-07-16","DFJP","1984-16","Teilrevision des Strassenverkehrsgesetzes"
"1982-08-02","1982-01-25","DFF","1982-4","Entwurf für ein Subventionsgesetz"
"1985-09-30","1984-10-30","DFI","1984-17","Revision des Gewässerschutzgesetzes"
"1986-11-01","1986-06-19","DFE","1986-11","Änderung des Bundesgesetzes über die Förderung des Hotel- und Kurortskredites"
"1985-11-30","1985-06-27","DFE","1985-6","Eidgenössische Volksinitiative «zur Herabsetzung der Arbeitszeit»"
"1986-12-31","1986-07-08","DFJP","1986-8","Änderung des Bundesgesetzes über Erwerb und Verlust des Schweizer Bürgerrechts"
"1986-12-20","1986-07-14","DETEC","1986-9","Bundesgesetz über Radio und Fernsehen, Bundesgesetz über die unabhängige Beschwerdeinstanz für Radio und Fernsehen"
"1987-05-31","1986-12-22","DFI","1987-4","Änderung von Artikel 2 des Bundesgesetzes über die eidgenössische Volkszählung; Verordnung zur Volks-, Wohnungs- und Gebäudezählung 1990"
"1987-05-31","1987-02-11","DETEC","1987-2","Energieartikel in der Bundesverfassung"
"1986-12-31","1986-07-09","DETEC","1986-13","Fernmeldegesetz (Totalrevision des Telegrafen- und Telefonverkehrsgesetzes)"
"1986-04-30","1985-12-20","DFI","1985-21","Entwurf zu einem Bundesgesetz über die Unterstützung der ausserschulischen Jugendarbeit"
"1986-04-30","1986-02-25","DFI","1986-5","Bundesgesetz über die Unterstützung der ausserschulischen Jugendarbeit"
"1981-11-30","1981-07-23","DETEC","1981-8","Vorentwurf für ein Strahlenschutz- und Kernenergienutzungsgesetz"
"1986-06-30","1985-11-29","DFI","1985-15","Entwurf zu einem Strahlenschutzgesetz"
"1984-09-30","1984-02-22","DFJP","1984-1","Bundesgesetz über den Schutz von Personendaten"
"1987-10-15","1987-06-17","DFJP","1987-10","Bundesgesetz über die Offenbarung des Berufsgeheimnisses für die medizinische Forschung"
"1986-01-31","1985-11-04","DFJP","1985-14","Bericht über die Überprüfung der Genehmigung kantonaler Erlasse durch den Bund"
"1985-09-30","1984-11-19","DFJP","1984-18","Zweites Paket von Vorschlägen zur Neuverteilung der Aufgaben zwischen Bund und Kantonen"
"1988-05-13","1988-03-07","DFE","1988-3","Bundesbeschluss über die inländische Zuckerwirtschaft"
"1987-02-28","1986-05-21","DFJP","1986-7","Revision des Bundesgesetzes über das bäuerliche Bodenrecht (II)"
"1987-09-30","1987-07-10","DETEC","1987-11","Änderung des Bundesgesetzes über die Rechtsverhältnisse der Verbindungsgleise zwischen dem schweizerischen Eisenbahnnetz und gewerblichen Anstalten(Verbindungsgeleisegesetz)"
"1988-05-13","1988-03-07","DFE","1988-4","Erneuerung des Bundesbeschlusses über Massnahmen zugunsten des Rebbaues"
"1983-09-15","1983-06-24","DFF","1983-14","Beiträge der Obstproduzenten (Ergänzung des Alkoholgesetzes)"
"1983-04-30","1982-11-12","DFI","1982-9","Entwurf zu einem Lebensmittelgesetz"
"1988-09-15","1988-06-06","DDPS","1988-8","Teilrevision der Militärorganisation/Totalrevision des Bundesbeschlusses über die Offiziersausbildung"
"1986-05-31","1985-08-27","DFJP","1985-12","Revision des Strafgesetzbuches und des Militärstrafgesetzes betreffend die strafbaren Handlungen gegen das Vermögen und die Urkundenfälschung sowie Gesetzesänderungsvorschlägedes Eidgenössischen Volkswirtschaftsdepartementesfür die Revision des Bun"
"1988-09-30","1988-06-21","DFJP","1988-16","BG vom 25.6.1954 betreffend die Erfindungspatente. Teilrevision"
"1988-11-18","1988-09-27","DFE","1988-11","Bundesgesetz über die Verbesserung der Wohnverhältnisse in Berggebieten (Änderung) und Änderung der dazugehörigen Verordnung"
"1988-06-30","1988-02-29","DFE","1988-2","Änderung des Arbeitslosenversicherungsgesetzes"
"1987-05-31","1987-02-06","DFAE","1987-1","Europäisches Übereinkommen über Gewalttätigkeiten und Ausschreitungen von Zuschauern bei Sportanlässen, insbesondere bei Fussballspielen"
"1989-01-31","1988-09-21","DFJP","1988-12","Revision des Bundesgesetzes über die Zuständigkeit für die Unterstützung Bedürftiger (Zuständigkeitsgesetz, ZUG):"
"1989-05-31","1989-02-17","DFE","1989-1","Entwurf zu einer Revision des Preisüberwachungsgesetzes (PüG)"
"1988-01-15","1987-10-19","DFE","1987-13","Änderung des Bundesgesetzes über Investitionskredite und Betriebshilfe in der Landwirtschaft"
"1988-02-29","1987-07-31","DFJP","1987-12","Bundesgesetz über die Hilfe an Opfer von Straftaten gegen Leib und Leben; Konvention des Europarates über die Entschädigung der Opfer von Gewaltverbrechen"
"1989-08-31","1989-04-26","DFJP","1989-5","Totalrevision des Bundesgesetzes über die Militärversicherung"
"1989-12-31","1989-10-02","DFJP","1989-12","Reform der amtlichen Vermessung (RAV)"
"1989-02-28","1988-09-12","DFJP","1988-9","BG vom 26.9.1890 betr. Den Schutz der Fabrik- und Handelsmarken, der Herkunftsbezeichnungen von Waren und der gewerblichen Auszeichnungen. Totalrevision"
"1990-10-15","1990-10-02","DFE","1990-9","Änderung des Landwirtschafts- und des Getreidegesetzes"
"1991-01-20","1990-12-04","DETEC","1990-11","Bundesbeschluss über das Plangenehmigungsverfahren bei Eisenbahn-Grossprojekten"
"1990-04-30","1989-09-15","DFI","1989-10","Revision von Artikel 116 der Bundesverfassung (Sprachenartikel) Bericht einer Arbeitsgruppe des EDI"
"1984-07-15","1984-03-12","DFI","1984-3","Bundesgesetz über die Eidgenössischen Technischen Hochschulen (ETH) und die Annexanstalten"
"1982-09-30","1982-04-07","DFJP","1982-3","Vorentwurf für die Revision des Bundesgesetzes über Schuldbetreibung und Konkurs (SchKG)"
"1990-03-31","1990-01-10","DFI","1990-2","Revision des Natur- und Heimatschutzgesetzes (Einfügung der Denkmalpflege und des Moorlandschaftsschutzes)"
"1990-09-30","1990-07-03","DFJP","1990-7","Versicherungsabkommen Schweiz/EWG Anpassung der Versicherungsaufsichtsgesetzgebung"
"1993-09-24","NA","","1993-23","Modification partielle de la loi sur le travail"
"1991-03-31","1990-12-21","DFI","1990-16","Bundesgesetz über Finanzhilfen an die Höheren Fachschulen im Sozialbereich"
"1983-06-30","1982-12-20","DFI","1982-19","Entwurf zu einem Bundesgesetz über amtliche Statistik"
"1991-05-15","1991-02-15","DFI","1991-1","Revision der Krankenversicherung"
"1991-04-30","1991-01-29","DFI","1991-3","Kulturförderungsartikel in der Bundesverfassung (Art. 27septies BV)"
"1991-06-30","1991-04-15","DFE","1991-10","Bundesbeschluss über den Rebbau"
"1991-04-30","1991-01-31","DFE","1991-5","Agrarpolitik mit ergänzenden Direktzahlungen (Änderung des Landwirtschaftsgesetzes Teil I: Agrarpolitik mit ergänzenden Direktzahlungen )"
"1991-04-30","1991-01-31","DFE","1991-6","Revision des Landwirtschaftsgesetzes: Abschnitt Berufsbildung"
"1990-03-31","1989-12-01","DETEC","1989-15","Entscheid über Fortführung und Neugestaltung der Strassenbenützungsabgaben (Abschaffung der Schwerverkehrsabgabe und der Autobahnvignette. Volksinitiativen)"
"1991-09-30","1991-07-08","DFI","1991-17","Europäische Konvention gegen Doping"
"1991-03-31","1991-01-08","DFJP","1991-2","Bundesgesetz über die Freizügigkeit in der beruflichen Vorsorge"
"1990-03-31","1990-01-12","DFAE","1990-3","Beitritt der Schweiz zum internationalen Übereinkommen zur Beseitigung jederForm von Rassendiskriminierung sowie Entwurf über die entsprechende Revisiondes Strafgesetzbuches und des Militärstrafgesetzbuches"
"1991-09-30","1991-07-30","DFI","1991-19","Volksinitiativen «zur Verminderung der Tabakprobleme» und «zur Verminderung der Alkoholprobleme» (Zwillingsinitiativen) - Gegenvorschlag des Bundesrates"
"1991-09-30","1991-07-04","DFI","1991-16","Wohneigentumsförderung mit Mitteln der beruflichen Vorsorge (Änderung OR und BVG)"
"1992-06-30","NA","DFI","1992-5","Arrêté fédéral sur des mesures temporaires contre le renchérissement de l'assurance-maladie"
"1992-06-22","NA","DFE","1992-16","Contre-projet direct à l'initiative populaire pour une agriculture paysanne compétitive et respectueuse de l'environnement"
"1992-03-15","1991-12-24","DFAE","1991-27","Bundesgesetz über schweizerische Blauhelmtruppen"
"1992-05-31","NA","DFF","1992-13","Loi fédérale sur les fonds de placement"
"1995-06-15","NA","","1995-14","Intérêt rémunératoire sur les crédits d'impôt anticipé (Variantes de projets de lois)"
"1993-03-15","NA","DFJP","1992-11","Révision de la législation sur la protection civile"
"1992-08-31","NA","DFE","1992-18","Loi fédérale sur l'aide aux chômeurs"
"1991-10-18","1991-06-24","DFJP","1991-15","Herabsetzung des zivilrechtlichen Mündigkeits- und Ehefähigkeitsalters"
"1991-06-30","1991-01-31","DFJP","1991-7","Bundesgesetz über die Gleichstellung von Mann und Frau"
"1991-09-15","1991-06-11","DFF","1991-13","Bundesgesetz über die Börsen und den Effektenhandel"
"1992-08-05","NA","DFE","1992-17","Modification de l'arrêté sur l'économie laitière 1988 et de l'arrêté sur le statut du lait"
"1992-09-30","NA","DFI","1992-6","Abaissement de l'âge Jeunesse + Sport"
"1992-02-29","1991-11-11","DDPS","1991-24","Änderung des Bundesgesetzes über den Militärpflichtersatz"
"1992-04-30","NA","DFF","1992-12","Loi fédérale sur le contrôle du commerce des métaux précieux et des ouvrages en métaux précieux"
"1991-06-30","1991-03-15","DFJP","1991-9","Revision des Strafgesetzbuches und des Militärstrafgesetzes betreffend die Strafbarkeit der kriminellen Organisation, die Einziehung, das Melderecht desFinanciers sowie die Verantwortlichkeit des Unternehmens"
"1989-03-31","1988-12-14","ChF","1988-15","Revision der Bundesgesetzgebung über die politischen Rechte"
"1993-02-28","NA","ChF","1992-1","Révision de la loi fédérale sur  les droits politiques"
"1993-02-15","NA","DFE","1992-20","Prorogation de l'arrêté fédéral concernant la société suisse des céréales et matières fourragères"
"1992-02-15","NA","DDPS","1992-22","Loi fédérale sur l'armée et l'administration militaire (LAAM)"
"1993-02-15","NA","DDPS","1992-21","Arrêté fédéral sur l'organisation de l'armée"
"1992-10-15","NA","DFJP","1992-10","Loi fédérale sur les amendes d'ordre infligées aux usagers de la route "
"1992-06-30","NA","DFJP","1992-7","Ratification de la Suisse des quatre instruments internationaux de procédure civile "
"1993-07-08","NA","","1993-1","Réforme du gouvernement 1993"
"1991-05-31","1991-03-07","DFE","1991-8","Bundesgesetz über Rahmemmietverträge und deren Allgemeinverbindlicherklärung"
"1994-11-30","NA","","1994-23","Conception politique directrice pour les CFF"
"1993-09-15","NA","","1993-24","Modification partielle de la  loi fédérale sur l'assurance-chômage"
"1993-11-19","NA","","1993-16","Loi fédérale sur les mesures de contrainte dans le droit des étrangers"
"1997-08-31","NA","","1997-11","Modification du Code pénal concernant l'interruption de grossesse"
"1994-03-21","NA","","1994-11","Initiative parlementaire. Modification des conditions d'éligibilité au Conseil fédéral"
"1993-05-31","NA","","1993-20","Modification de la loi sur l'énergie atomique et modification de l'arrêté fédéral concernant la loi sur l'énergie atomique"
"1990-12-22","1990-10-30","DFJP","1990-15","Verordnung über die Bearbeitung von Informationen im Interesse der inneren und äusseren Sicherheit der  Schweiz (Staatsschutzverordnung)"
"1994-01-17","NA","","1993-18","Révision  Lex Friedrich"
"1993-12-31","NA","","1993-28","Modification de la loi sur le service des postes"
"1993-08-16","NA","","1993-22","Arrêté fédéral visant à renforcer les structures économiques régionales et l'attrait de la place économique suisse"
"1993-10-08","NA","","1993-25","Modification partielle de la loi fédérale contre la concurrence déloyale"
"1993-12-15","NA","","1993-14","Révision de la loi fédérale sur l'aménagement du territoire"
"1993-08-31","NA","","1993-11","Loi fédérale sur le statut et les tâches de l'Institut suisse de la propriété intellectuelle"
"1994-03-31","NA","","1994-19","Modification de l'arrêté fédéral concernant l'Office national suisse du tourisme"
"1992-06-15","NA","DFI","1992-4","Adhésion de la Suisse à trois conventions internationales sur les stupéfiants et modification de la Loi fédérale sur les stupéfiants"
"1993-10-15","NA","","1993-26","Loi fédérale sur le service civil"
"1992-12-15","NA","DFAE","1992-2","Adhésion de la Suisse à la Convention des Nations Unies relative aux droits de l'enfant"
"1994-08-22","NA","","1994-24","Accords issus du Cycle d'Uruguay/Gatt-WTO et modifications de lois nécessaires qui en découlent"
"1993-09-30","NA","","1993-2","Arrêté fédéral concernant la coopération avec les Etats d'Europe de l'Est"
"1993-11-30","NA","","1993-15","Révision partielle de la loi sur la circulation routière, de la loi sur la surveillance des assurances et de la loi sur le contrat d'assurance"
"1994-03-04","NA","","1994-18","Ordonnance sur la fête natinale"
"1994-02-28","NA","","1993-27","Révision totale de la loi fédérale sur les cartels "
"1994-04-29","NA","","1994-20","Loi sur le marché intérieur"
"1999-03-15","NA","","1998-16","Loi fédérale sur l'aide aux victimes d'infractions"
"1994-02-28","NA","","1993-30","Loi fédérale sur le matériel de guerre "
"1994-03-15","NA","","1993-31","Loi sur le contrôle à l'exportation"
"1995-01-31","NA","","1994-10","Loe fédérale sur les subventions pour la sauvegarde et la promotion de la langue et de la culture romanche et italienne"
"1993-09-30","NA","","1993-10","Entraide judiciaire en matière pénale"
"1994-07-15","NA","","1994-16","Loi sur l'imposition des huiles minérales"
"1995-03-15","NA","","1995-18","Modification de la loi fédérale sur la garantie contre les risques à l'exportation (acceptation comme garantes de certaines banques privées sélectionnées dans les pays d'importation)"
"1994-09-22","NA","","1994-14","Protection des marques, agriculture, viticulture"
"1995-01-13","NA","","1994-28","Loi fédérale sur l'agriculture/ Convention pour la protection des végétaux"
"1984-04-15","1983-12-20","DFE","1983-30","Revision des Bundesgesetzes vom 22.12.1916 über die Nutzbarmachung der Wasserkräfte"
"1994-04-15","NA","","1994-3","Modification de l'ordonnance relative à l'étude de l'impact sur l'environnement/ Ratification de la Convention de la CEE/ONU sur l'évaluation de l'impact sur l'environnement dans un contexte transfrontière"
"1992-10-31","NA","DFJP","1992-8","Révision du Code civil"
"1994-01-31","NA","","1993-19","Révision de la loi fédérale sur l'alcool"
"1994-09-07","NA","","1994-12","Révision intégrale de la loi sur l'aslie et modification de la loi fédérale sur le séjour et l'établissement des étrangers"
"1995-08-14","NA","","1995-21","Révision partielle de l'ordonnance limitant le nombre des étrangers"
"1995-05-31","NA","","1995-9","Loi fédérale sur les armes, les accessoires d'arme et les munitions"
"1995-09-30","NA","","1995-23","Réorientation de la politique régionale: Révision de la loi fédérale sur l'aide en matière d'investissements dans les régions de montagne, mesures d'appoint aux changements structurels en milieu rural"
"1994-11-30","NA","","1994-27","Régale des poudres et loi sur les explosifs"
"1994-11-15","NA","","1994-13","Révision partielle de la loi sur l'aménagement du territoire dans les domaines de l'agriculture et du paysage"
"1995-12-15","NA","","1995-27","Loi fédérale sur les télécommunications (LTC)"
"1995-12-31","NA","","1995-26","Loi sur la Poste"
"1996-01-31","NA","","1995-24","Loi sur l'organisation des PTT"
"1994-04-30","NA","","1994-15","Loi fédérale relative à la lutte contre le blanchissage d'argent dans le secteur financier"
"1992-04-30","1991-11-29","DFJP","1991-26","Bericht und Vorschläge der Studienkommission «Medienstraf- und Verfahrensrecht"
"1995-11-15","NA","","1995-16","Financement des transports publics"
"1996-02-15","NA","","1995-28","Deuxième étape de la réforme agricole (Politique agricole 2002)"
"1994-09-30","NA","","1994-22","Loi sur l'énergie"
"1996-06-15","NA","","1996-4","Loi fédérale sur la protection des eaux"
"1995-10-31","NA","","1995-22","Loi fédérale concernant une redevance sur le trafic des poids lourds liée aux prestations"
"1996-02-29","NA","","1995-12","Révision totale de la constitution fédérale"
"1995-11-30","NA","","1995-5","Loi fédérale sur les prestations complémentaires à l'AVS et à l'AI (LPC)"
"1996-08-31","NA","","1996-17","Arrêté fédéral encourageant l'innovation et la coopération dans le domaine du tourisme"
"1996-08-01","NA","","1996-2","Avoirs des victimes de l'holocauste déposés en Suisse"
"1995-12-15","NA","","1995-6","Loi fédérale sur l'archivage"
"1995-04-30","NA","","1995-8","Loi fédérale sur les maisons de jeu"
"1996-09-30","NA","","1996-11","Réforme de l'imposition des sociétés"
"1996-12-20","NA","","1996-7","Loi fédérale sur la réduction des émissions de CO2"
"1996-09-30","NA","","1996-19","Loi fédérale sur les entreprises du groupement de l'armement"
"1996-11-30","NA","","1996-6","Projet d'article constitutionnel sur la médicine de la transplantation"
"1996-11-08","NA","","1996-5","Loi fédérale sur le recensement fédéral de la population et la loi sur la statistique fédérale"
"1996-12-15","NA","","1996-12","Plan d'assainissement 2001"
"1997-02-28","NA","","1996-23","Loi fédérale sur la navigation aérienne"
"1997-02-20","NA","","1996-8","4e révision de l'assurance-invalidité (AI) - Rapport concernant les caractéristiques et les points essentiels de la révision"
"1994-09-30","NA","","1994-8","Loi fédérale sur l'assurance-maternité"
"1991-06-30","1991-04-26","DFI","1991-12","Übereinkommen zum Schutz der Alpen (Alpenkonvention)"
"1996-08-31","NA","","1996-9","Mesures visant à améliorer l'efficacité et la légalité de la poursuite pénale"
"1996-08-30","NA","","1996-13","Loi sur la circulation routière (LCR)"
"1995-01-13","NA","","1994-1","Convention-cadre du Conseil de l'Europe pour la protection des minorités nationales"
"1997-05-31","NA","","1997-1","Loi fédérale sur la participation des cantons à la politique étrangère de la Confédération"
"1999-11-30","NA","","1999-12","Droit du travail. Augmentation de la valeur litigieuse pour les procédures gratuites en matière de litiges relevant du contrat de travail (art. 343, 2e al. du code des obligations)"
"2004-10-15","2004-05-14","DFI","2004-7","Article constitutionnel sur l'éducation"
"2000-06-30","NA","","2000-8","Modification du code pénal suisse concernant les infractions contre le domaine secret ou le demaine privé(complément à l'article 179quinquies du CP)"
"1998-01-15","NA","","1997-7","Arrêté fédéral urgent sur la prescription médicale d'héroïne"
"1998-09-30","NA","","1998-25","Loi fédérale sur les routes nationales"
"1995-09-15","NA","","1995-2","Loi fédérale sur le régime des allocations pour perte de gain en faveur des personnes servant dans l'armée ou dans la protection civile"
"1997-12-31","NA","","1997-4","Loi fédérale sur la météorologie et la climatologie"
"1997-05-31","NA","","1997-17","Rapport sur la révision du statut des banques cantonales"
"1997-08-31","NA","","1997-13","Loi fédérale sur la surveillance de la correspondance postale et des télécom-munications ainsi que sur la mise en oeuvre d'appareils techniques de sur-veillance"
"1994-02-18","NA","","1993-13","Révision du Code pénal et loi régissant la condition pénale des mineurs"
"1998-04-20","NA","","1998-17","Loi fédérale relative à la mise sur le marché des produits de construction"
"1998-05-15","NA","","1998-1","LAMal et l'arrêté fédéral sur les subsides fédéraux pour la réduction de primes"
"1997-04-30","NA","","1997-8","Loi fédérale sur les fors en matière civile"
"1998-03-31","NA","","1997-6","Loi fédérale sur l'aide aux universités"
"1997-07-01","NA","","1997-9","Ratification de la Convention de La Haye du 29.5.93 sur la protection des enfants et la coopération en matière d'adoption internationale/Loi fédérale relative à la Convention de La Haye sur l'adoption"
"1998-08-31","NA","","1998-18","Loi sur le personnel"
"1998-03-31","NA","","1997-15","Loi fédérale sur le crédit à la consommation"
"NA","NA","","2000-18","Loi fédérale sur la poursuite pour dettes et la faillite (LP)"
"2001-05-31","NA","","2001-9","Loi fédérale sur l'acquisition d'immeubles par des personnes à l'étranger"
"2001-11-30","NA","","2001-26","Loi sur la protection de l'environnement (Sites contaminés, 98.451 n Iv.pa. Baumberger)"
"1998-03-09","NA","","1997-5","Loi fédérale sur la formation de base, la formation postgrade et la formation continue des professions médicales (loi sur les professions médicales)"
"1998-11-30","NA","","1998-26","Arrêté fédéral relatif à la promotion de la participation suisse à l'initiative communautaire de coopération transfrontalière, transnationale et interrégionale (INTERREG III), pour la période de 2000 à 2006 et arrêté de financement"
"1997-06-30","NA","","1997-3","Loi fédérale sur les agents thérapeutiques"
"1998-09-30","NA","","1998-8","Révision du droit pénal suisse de la corruption"
"1997-08-31","NA","","1997-10","Loi fédérale sur la libre circulation des avocats"
"1999-04-13","NA","","1999-27","Accords sectoriels Suisse - UE"
"1998-09-30","NA","","1998-7","Retrait des réserves et déclarations interprétatives suisses à l'article 6 CEDH"
"1998-01-09","NA","","1997-2","L'adhésion de la Suisse à la Convention de 1948 pour la prévention et la répression du crime de génocide"
"1997-08-31","NA","","1997-12","Révision du titre trente-deuxième du Code des obligations (De la comptabilité commerciale)"
"1998-09-30","NA","","1998-2","Loi fédérale sur l'assurance-vieillesse et survivants (révision de l'assurance facultative)"
"1999-01-22","NA","","1998-20","Loi sur l'unité monétaire et les moyens de paiement (LUMMP)"
"1998-05-15","NA","","1998-22","Loi sur le marché de l'élecricité"
"1999-04-23","NA","","1999-1","Loi sur l'assurance-maladie (LAMal) (Financement des hôpitaux)"
"1999-05-10","NA","","1999-26","Code des obligations (Bail à loyer et bail à ferme)"
"1999-07-02","NA","","1999-28","Abrogation de la loi sur le blé et modification de la loi sur l<U+0092>approvisionnement du pays"
"1999-03-30","NA","","1999-15","Loi fédérale sur l'armée et l'administration militaire"
"1996-04-09","NA","","1995-7","Loi fédérale sur la protection contre les substances et les préparations dangereuses (loi sur les substances chimiques)"
"2002-06-30","2002-04-09","DFJP","2002-2","Indemnisation des victimes stérilisées de force  (Initiative parlementaire 99.451 n.)"
"1998-08-31","NA","","1998-5","Modification du Code civil, du Code des obligations, du Code pénal et de la loi fédérale sur la poursuite pour dettes et la faillite (Animaux)"
"1998-03-31","NA","","1997-21","Législation sur le génie génétique dans le domaine non humain (avant-projet Gen-Lex)"
"2000-09-15","NA","","2000-5","Loi fédérale sur l'assurance-invalidité, 4e révision"
"1998-11-30","NA","","1998-4","Loi fédérale sur l'assurance vieillesse et survivants, 11e révision"
"1997-09-30","NA","","1997-20","Loi fédérale sur la promotion du commerce extérieur"
"1999-12-31","NA","","1999-32","Loi sur l'assurance chômage (LACI)"
"1998-11-30","NA","","1998-3","Loi fédérale sur la prévoyance professionnelle vieillesse, survivants et invalidité, 1ère révision"
"1998-11-30","NA","","1998-9","Code pénal suisse, Code pénal militaire"
"1998-09-15","NA","","1998-19","Loi fédérale sur la Fondation Suisse solidaire"
"1999-10-29","NA","","1999-31","Loi sur les armes (LArm), Loi fédérale sur le matériel de guerre (LFMG), Loi sur les explosifs (LExpl), Loi sur le contrôle des biens (LCB)"
"1998-05-31","NA","","1997-16","Loi fédérale sur la fusion, la scission et la transformation de sujets"
"2000-01-31","NA","","1999-13","Loi fédérale sur les documents d'identité des ressortissants suisses (loi sur les documents d'identité)"
"1999-10-15","NA","","1999-29","Nouvelle loi sur la formation professionnelle"
"2000-08-10","NA","","2000-27","Arrêté fédéral en faveur des zones économiques en redéploiement"
"1999-10-31","NA","","1999-2","Loi fédérale sur la production et la culture cinématographiques (révision totale de la loi fédérale sur le cinéma)"
"2000-09-15","NA","","2000-1","Statut de Rome de la Cour pénale internationale; ratification"
"2000-10-05","NA","","2000-3","Adhésion de la Suisse à l'Organisation des Nations Unies (ONU)"
"2000-06-30","NA","","2000-26","Loi fédérale sur l'application de sanctions internationales (loi sur les embargos, LEmb)"
"1999-03-31","NA","","1998-15","Abrogation de l'article 50, 4e alinéa Cst. (soumettant la création des évêchés à l'approbation préalable de la Confédération)"
"2004-02-29","2003-11-12","DFJP","2003-15","Initiative parlementaire 00.419 Protection contre la violence dans la famille et dans le couple (Procédure de consultation "
"2006-06-23","2006-04-04","DDPS","2006-36","Loi fédérale sur les guides de montagne et les organisateurs d<U+0092>activités à risque"
"2000-01-31","NA","","1999-14","Code civil (informatisation de l'état civil)"
"2000-12-07","NA","","2000-29","Loi sur l'assurance chômage (LACI)"
"2000-10-31","NA","","2000-22","Utilisation de 800 tonnes d'or de la Banque nationale"
